,CH1,CH2,CH3
Second,Volt,Volt,Volt
-3.05920e-05,7.80e+00,1.40e+01,5.20e-02, 
-3.05520e-05,7.80e+00,1.38e+01,5.60e-02, 
-3.05120e-05,7.80e+00,1.40e+01,5.60e-02, 
-3.04720e-05,7.80e+00,1.38e+01,5.20e-02, 
-3.04320e-05,7.80e+00,1.40e+01,5.60e-02, 
-3.03920e-05,7.80e+00,1.38e+01,5.20e-02, 
-3.03520e-05,7.80e+00,1.38e+01,5.20e-02, 
-3.03120e-05,8.00e+00,1.40e+01,5.40e-02, 
-3.02720e-05,8.00e+00,1.40e+01,5.60e-02, 
-3.02320e-05,7.80e+00,1.38e+01,5.20e-02, 
-3.01920e-05,8.00e+00,1.38e+01,5.20e-02, 
-3.01520e-05,7.80e+00,1.40e+01,5.60e-02, 
-3.01120e-05,8.00e+00,1.40e+01,5.60e-02, 
-3.00720e-05,8.00e+00,1.38e+01,5.20e-02, 
-3.00320e-05,8.00e+00,1.38e+01,5.60e-02, 
-2.99920e-05,8.00e+00,1.40e+01,5.20e-02, 
-2.99520e-05,7.80e+00,1.40e+01,9.80e-02, 
-2.99120e-05,8.40e+00,8.40e+00,1.20e-02, 
-2.98720e-05,7.20e+00,5.80e+00,1.64e-01, 
-2.98320e-05,9.00e+00,-8.00e-01,-5.20e-02, 
-2.97920e-05,7.40e+00,6.00e-01,1.72e-01, 
-2.97520e-05,8.40e+00,1.40e+00,-4.60e-02, 
-2.97120e-05,8.00e+00,1.20e+00,1.80e-02, 
-2.96720e-05,7.80e+00,1.40e+00,7.00e-02, 
-2.96320e-05,7.80e+00,1.40e+00,7.40e-02, 
-2.95920e-05,7.80e+00,1.20e+00,3.00e-02, 
-2.95520e-05,7.80e+00,1.20e+00,3.40e-02, 
-2.95120e-05,7.80e+00,1.40e+00,6.40e-02, 
-2.94720e-05,7.80e+00,1.20e+00,6.00e-02, 
-2.94320e-05,7.60e+00,1.40e+00,4.40e-02, 
-2.93920e-05,7.80e+00,1.20e+00,4.80e-02, 
-2.93520e-05,7.60e+00,1.40e+00,5.80e-02, 
-2.93120e-05,7.80e+00,1.20e+00,4.80e-02, 
-2.92720e-05,7.60e+00,1.20e+00,5.80e-02, 
-2.92320e-05,7.60e+00,1.20e+00,5.60e-02, 
-2.91920e-05,7.60e+00,1.20e+00,5.00e-02, 
-2.91520e-05,7.60e+00,1.20e+00,5.40e-02, 
-2.91120e-05,7.40e+00,1.20e+00,5.00e-02, 
-2.90720e-05,7.60e+00,1.20e+00,5.40e-02, 
-2.90320e-05,7.40e+00,1.20e+00,5.00e-02, 
-2.89920e-05,7.40e+00,1.20e+00,5.20e-02, 
-2.89520e-05,7.40e+00,1.40e+00,5.60e-02, 
-2.89120e-05,7.40e+00,1.20e+00,5.20e-02, 
-2.88720e-05,7.20e+00,1.40e+00,5.40e-02, 
-2.88320e-05,7.40e+00,1.20e+00,5.20e-02, 
-2.87920e-05,7.20e+00,1.20e+00,5.40e-02, 
-2.87520e-05,7.20e+00,1.20e+00,5.20e-02, 
-2.87120e-05,7.20e+00,1.40e+00,5.40e-02, 
-2.86720e-05,7.20e+00,1.20e+00,5.40e-02, 
-2.86320e-05,7.00e+00,1.20e+00,5.20e-02, 
-2.85920e-05,7.00e+00,1.20e+00,5.20e-02, 
-2.85520e-05,7.20e+00,1.40e+00,5.40e-02, 
-2.85120e-05,7.00e+00,1.20e+00,5.40e-02, 
-2.84720e-05,7.00e+00,1.40e+00,5.20e-02, 
-2.84320e-05,7.00e+00,1.20e+00,5.40e-02, 
-2.83920e-05,7.00e+00,1.40e+00,5.20e-02, 
-2.83520e-05,7.00e+00,1.20e+00,5.20e-02, 
-2.83120e-05,6.80e+00,1.20e+00,5.40e-02, 
-2.82720e-05,7.00e+00,1.20e+00,5.40e-02, 
-2.82320e-05,7.00e+00,1.40e+00,5.20e-02, 
-2.81920e-05,6.80e+00,1.20e+00,5.20e-02, 
-2.81520e-05,7.00e+00,1.40e+00,5.40e-02, 
-2.81120e-05,6.80e+00,1.20e+00,5.20e-02, 
-2.80720e-05,6.60e+00,1.40e+00,5.40e-02, 
-2.80320e-05,6.80e+00,1.40e+00,5.40e-02, 
-2.79920e-05,6.60e+00,1.20e+00,5.20e-02, 
-2.79520e-05,6.60e+00,1.20e+00,5.40e-02, 
-2.79120e-05,6.60e+00,1.40e+00,5.00e-02, 
-2.78720e-05,6.60e+00,1.20e+00,5.40e-02, 
-2.78320e-05,6.60e+00,1.40e+00,5.20e-02, 
-2.77920e-05,6.40e+00,1.40e+00,5.20e-02, 
-2.77520e-05,6.60e+00,1.20e+00,5.40e-02, 
-2.77120e-05,6.40e+00,1.20e+00,5.40e-02, 
-2.76720e-05,6.60e+00,1.40e+00,5.20e-02, 
-2.76320e-05,6.40e+00,1.40e+00,5.40e-02, 
-2.75920e-05,6.60e+00,1.20e+00,5.20e-02, 
-2.75520e-05,6.40e+00,1.20e+00,5.20e-02, 
-2.75120e-05,6.40e+00,1.40e+00,5.40e-02, 
-2.74720e-05,6.40e+00,1.40e+00,5.40e-02, 
-2.74320e-05,6.40e+00,1.20e+00,5.20e-02, 
-2.73920e-05,6.40e+00,1.20e+00,5.40e-02, 
-2.73520e-05,6.20e+00,1.40e+00,5.20e-02, 
-2.73120e-05,6.40e+00,1.20e+00,5.20e-02, 
-2.72720e-05,6.20e+00,1.40e+00,5.40e-02, 
